run_id,hidden_size,checkpoint,field,old_value,new_value,difference,exact_match
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,nodup_issued,455130,455130,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_filled,121385,121385,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_useful,116943,116943,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_useless,4391,4391,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pf_late,93,93,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,pq_merged_duplicate_proxy,0,0,0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,accuracy,0.25694416979764023,0.25694416979764023,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,nodup_accuracy,0.25694416979764023,0.25694416979764023,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,selected_accuracy,0.25694416979764023,0.25694416979764023,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,useful_per_l2_miss_self,1.3568204759308031,1.3568204759308031,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,timeliness,0.9992053727058341,0.9992053727058341,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,request_per_l2_load,1.125949052370126,1.125949052370126,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,merge_per_issued,0.0,0.0,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,late_per_issued,0.00020433722233208093,0.00020433722233208093,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,drop_rate,0.0,0.0,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,fill_per_nodup_issued,0.2667040186320392,0.2667040186320392,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,useless_per_issued,0.00964779293828137,0.00964779293828137,0.0,True
historical_frozen_i20m_h8_s7_state0_mac0,8,i20m,resolved_fill_utility,0.9638106384030857,0.9638106384030857,0.0,True
