run_id,protocol,hidden_size,checkpoint,state_capacity,macs_per_cycle,scale,comparison,quality_status,first_recorded_instructions,start_window_instructions,first_eligible_l2,first_admitted_l2,first_completed_l2,preceding_recorded_instructions,recorded_points,exit_at_instructions,exit_status,last_recorded_instructions,last_eligible_l2,last_admitted_l2,last_completed_l2,sampled_instruction_span,covered_window_instructions,exit_limiting_metrics
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_100k,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,100000.0,0.0,1659.0,767.0,751.0,NA,250,NA,NA,25000000.0,404271.0,152079.0,152062.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_100k,offline_same_checkpoint,MISSING_REFERENCE,100000.0,0.0,1659.0,767.0,751.0,NA,250,NA,NA,25000000.0,404271.0,152079.0,152062.0,24900000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_1m,stride,NOT_EXCEEDS,1000000.0,0.0,16196.0,6207.0,6190.0,NA,25,NA,NA,25000000.0,404271.0,152079.0,152062.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_1m,summer,MISSING_REFERENCE,1000000.0,0.0,16196.0,6207.0,6190.0,NA,25,NA,NA,25000000.0,404271.0,152079.0,152062.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_1m,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000000.0,0.0,16196.0,6207.0,6190.0,NA,25,NA,NA,25000000.0,404271.0,152079.0,152062.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac16,cold,8,i1m,64,16,interval_1m,offline_same_checkpoint,MISSING_REFERENCE,1000000.0,0.0,16196.0,6207.0,6190.0,NA,25,NA,NA,25000000.0,404271.0,152079.0,152062.0,24000000.0,25000000.0,
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,cumulative,stride,NA,1000.0,0,30.0,24.0,7.0,NA,2,100000.0,NOT_EXCEEDS,10000.0,172.0,59.0,42.0,9000.0,NA,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,cumulative,stride,NOT_EXCEEDS,100000.0,0,1659.0,431.0,414.0,10000.0,250,NA,NA,25000000.0,404271.0,84108.0,84091.0,24900000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,cumulative,summer,MISSING_REFERENCE,1000.0,0,30.0,24.0,7.0,NA,252,NA,NA,25000000.0,404271.0,84108.0,84091.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,cumulative,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000.0,0,30.0,24.0,7.0,NA,252,NA,NA,25000000.0,404271.0,84108.0,84091.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,cumulative,offline_same_checkpoint,MISSING_REFERENCE,1000.0,0,30.0,24.0,7.0,NA,252,NA,NA,25000000.0,404271.0,84108.0,84091.0,24999000.0,NA,
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,100000.0,0.0,1659.0,431.0,414.0,NA,7,800000.0,NA,700000.0,11335.0,2417.0,2400.0,600000.0,700000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,800000.0,700000.0,12963.0,2761.0,2745.0,700000.0,1,900000.0,NOT_EXCEEDS,800000.0,12963.0,2761.0,2745.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,900000.0,800000.0,14563.0,3100.0,3083.0,800000.0,4,1300000.0,NA,1200000.0,19404.0,4109.0,4092.0,300000.0,400000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,1300000.0,1200000.0,21030.0,4440.0,4423.0,1200000.0,2,1500000.0,NOT_EXCEEDS,1400000.0,22636.0,4767.0,4750.0,100000.0,200000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,1500000.0,1400000.0,24263.0,5094.0,5077.0,1400000.0,7,2200000.0,NA,2100000.0,33923.0,7111.0,7094.0,600000.0,700000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,2200000.0,2100000.0,35549.0,7451.0,7435.0,2100000.0,1,2300000.0,NOT_EXCEEDS,2200000.0,35549.0,7451.0,7435.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,2300000.0,2200000.0,37155.0,7783.0,7766.0,2200000.0,3,2600000.0,NA,2500000.0,40389.0,8443.0,8426.0,200000.0,300000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,2600000.0,2500000.0,41990.0,8781.0,8764.0,2500000.0,1,2700000.0,NOT_EXCEEDS,2600000.0,41990.0,8781.0,8764.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
