trace,prefetcher,demand,demand_hit,demand_miss,demand_miss_rate,covered_on_time,covered_on_time_rate,coverage_among_misses,late_prefetch,late_rate_among_misses,residual_miss,residual_miss_rate,residual_share_of_misses,original_miss_pool,pf_requested_events,pf_accepted_events,pf_duplicate_events,pf_duplicate_rate,pf_dropped_events,pf_dropped_rate,top_residual_pcs,top_residual_deltas,parse_error,event_file
605.mcf_s-994B,spp,985273,249867,735406,0.7463982063854383,5221,0.005299038946566079,0.007049432440351216,1105,0.0015025713687405325,735406,0.7463982063854383,0.9929505675596488,740627,363575,363575,3443,0.009469848036856219,0,0.0,"[('4203599', 423109), ('4203612', 260944), ('4203584', 50104), ('4223045', 556), ('4203590', 227), ('4203587', 221), ('4203614', 139), ('4218147', 33), ('4214720', 24), ('4218177', 13)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.spp.events.csv.gz
605.mcf_s-994B,ipcp,985276,245053,740223,0.7512849191495581,0,0.0,0.0,0,0.0,740223,0.7512849191495581,1.0,740223,3,3,0,0.0,0,0.0,"[('4203599', 423829), ('4203612', 260625), ('4203584', 54454), ('4223045', 621), ('4203590', 227), ('4203587', 221), ('4203614', 141), ('4218147', 33), ('4214720', 24), ('4218177', 12)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.ipcp.events.csv.gz
605.mcf_s-994B,sms,985312,303082,682230,0.6923999707706797,99548,0.10103195739014648,0.12733538165566183,57629,0.08447151253975932,682230,0.6923999707706797,0.8726646183443382,781778,765510,765510,0,0.0,0,0.0,"[('4203599', 411826), ('4203612', 263282), ('4203584', 6108), ('4203590', 346), ('4203587', 320), ('4203614', 166), ('4223045', 100), ('4214720', 27), ('4218147', 14), ('4218177', 11)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.sms.events.csv.gz
605.mcf_s-994B,sandbox,1130709,271027,859682,0.7603034909954728,209589,0.1853606896204063,0.19601111411419556,133738,0.15556682587282275,859682,0.7603034909954728,0.8039888858858044,1069271,9261364,9261364,960875,0.10375091617174317,0,0.0,"[('4203599', 502977), ('4203612', 352239), ('4203590', 1550), ('4203584', 1386), ('4203587', 880), ('4203614', 492), ('4214720', 97), ('4218147', 39), ('4223045', 14), ('4218115', 3)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.sandbox.events.csv.gz
605.mcf_s-994B,power7,985411,269416,715995,0.7265952988144033,77025,0.07816535435468043,0.09712869788908224,17367,0.024255755975949554,715995,0.7265952988144033,0.9028713021109177,793020,975958,975958,53320,0.05463349857268448,0,0.0,"[('4203599', 425729), ('4203612', 275778), ('4203584', 13335), ('4203590', 390), ('4203587', 368), ('4203614', 228), ('4223045', 79), ('4218147', 37), ('4214720', 34), ('4218177', 8)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/605.mcf_s-994B.power7.events.csv.gz
620.omnetpp_s-874B,no_pref,451398,134844,316554,0.7012747065782303,0,0.0,0.0,0,0.0,316554,0.7012747065782303,1.0,316554,0,0,0,0.0,0,0.0,"[('4657997', 25312), ('4658001', 21862), ('4657981', 16107), ('5518024', 11636), ('5152705', 11504), ('5618451', 10456), ('5152793', 9758), ('5574648', 8844), ('5570300', 8836), ('5570203', 7410)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.no_pref.events.csv.gz
620.omnetpp_s-874B,stride,451396,137702,313694,0.69494191353047,2991,0.006626110997882126,0.009444716358526612,0,0.0,313694,0.69494191353047,0.9905552836414734,316685,9896,9896,1,0.00010105092966855295,0,0.0,"[('4657997', 25327), ('4658001', 21886), ('4657981', 16122), ('5518024', 11636), ('5152705', 11501), ('5618451', 10456), ('5152793', 9758), ('5570300', 8835), ('5574648', 8835), ('5570203', 7402)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.stride.events.csv.gz
620.omnetpp_s-874B,streamer,451360,173082,278278,0.6165322580645162,52592,0.11651896490606169,0.15895064526853447,1942,0.006978632877913453,278278,0.6165322580645162,0.8410493547314656,330870,378952,378952,48338,0.12755705208047458,0,0.0,"[('4657997', 27735), ('4658001', 24056), ('4657981', 15331), ('5518024', 11635), ('5618451', 10459), ('5570300', 9157), ('5574648', 6070), ('4288249', 6007), ('4711892', 5954), ('6440345', 5686)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.streamer.events.csv.gz
620.omnetpp_s-874B,ampm,451359,151305,300054,0.6647790339840349,22176,0.04913162250004985,0.0688204077832604,880,0.002932805428356229,300054,0.6647790339840349,0.9311795922167396,322230,158198,158198,10386,0.06565190457527909,0,0.0,"[('4657997', 26296), ('4658001', 22741), ('4657981', 15339), ('5518024', 11635), ('5618451', 10457), ('5570300', 9010), ('5574648', 8612), ('5570203', 7298), ('5152793', 6882), ('5152705', 6550)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.ampm.events.csv.gz
620.omnetpp_s-874B,spp,451389,135042,316347,0.7008301044110512,50,0.00011076920350296529,0.0001580293112766556,13,4.1094115006622474e-05,316347,0.7008301044110512,0.9998419706887234,316397,90145,90145,2129,0.023617505130622884,0,0.0,"[('4657997', 25317), ('4658001', 21869), ('4657981', 15965), ('5518024', 11636), ('5152705', 11503), ('5618451', 10456), ('5152793', 9750), ('5574648', 8843), ('5570300', 8842), ('5570203', 7404)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.spp.events.csv.gz
