run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,event,final,instructions,cycles,trace_origin_records,trace_records_read,NL,M,callback_loads,callback_load_misses,P,Ipf,Q,U,L,pf_filled,pf_useless,pf_dropped,l2_sets,l2_ways,line_bytes,capacity_lines,capacity_bytes,occupancy_lines,occupancy_peak,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,invalidations,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,pq_occupancy,mshr_occupancy,cohort_enqueued,cohort_timely,cohort_late,cohort_unused,cohort_redundant_cache,cohort_redundant_inflight,cohort_pending,cohort_resident_unused,measurement_unresolved_lifecycles,measurement_unresolved_lifecycles_peak,decoder_dropped_addresses,eligible_l2_callbacks,inference_dropped,inference_macs,inference_nonlinears,inference_service_cycles,nn_admitted,nn_completed,numerical_failures,output_dropped_addresses,peak_input_queue,peak_output_queue,peak_state_entries,state_evictions,input_queue,output_queue,inference_inflight,state_entries,weight_bytes,h,macs_per_cycle,weight_bandwidth_bytes_per_cycle,state_entry_bytes,state_bytes_peak,state_bytes_configured,inference_scratch_bytes,active_event_metadata_bytes,decoded_result_bytes_configured,decoded_result_bytes_peak,input_queue_bytes_configured,output_queue_bytes_configured,input_queue_bytes_peak,output_queue_bytes_peak,eligible_callbacks,l2_capacity_lines,pf_requested,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,pf_issued,decoder_limit_drops,l2_loads,pq_merged_duplicate_proxy,pf_late,completed_decisions,inference_scratch_traffic_bytes,nn_started,peak_decoded_addresses,occupancy_percent,replacement_turnovers
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,500000.0,1421611.0,25000000,500253,8100,4592,8100,4592,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4088.0,4088,4592,0,0,0,504,0,504,573952010,504,573952010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.0,4096.0,0.0,0.0,0.0,0.0,4592.0,0.0,0.0,0.0,8100.0,0.0,0.0,0.0,,,0,99.8046875,0.123046875
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,600000.0,1697625.0,25000000,600255,9726,5393,9726,5393,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,5393,0,0,0,1297,0,1297,1531352963,1297,1531352963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9726,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9726.0,4096.0,0.0,0.0,0.0,0.0,5393.0,0.0,0.0,0.0,9726.0,0.0,0.0,0.0,,,0,100.0,0.316650390625
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,700000.0,1972657.0,25000000,700252,11335,6193,11335,6193,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,6193,0,0,0,2097,0,2097,2486421845,2097,2486421845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11335,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11335.0,4096.0,0.0,0.0,0.0,0.0,6193.0,0.0,0.0,0.0,11335.0,0.0,0.0,0.0,,,0,100.0,0.511962890625
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,800000.0,2251005.0,25000000,800255,12963,6997,12963,6997,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,6997,0,0,0,2901,0,2901,3459347844,2901,3459347844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12963,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12963.0,4096.0,0.0,0.0,0.0,0.0,6997.0,0.0,0.0,0.0,12963.0,0.0,0.0,0.0,,,0,100.0,0.708251953125
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,900000.0,2520889.0,25000000,900253,14562,7790,14563,7791,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,7790,0,0,0,3694,0,3694,4403709857,3694,4403709857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14563,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14563.0,4096.0,0.0,0.0,0.0,0.0,7790.0,0.0,0.0,0.0,14562.0,0.0,0.0,0.0,,,0,100.0,0.90185546875
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,1000000.0,2798470.0,25000000,1000255,16195,8595,16196,8596,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,8595,0,0,0,4499,0,4499,5382167099,4499,5382167099,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16196,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16196.0,4096.0,0.0,0.0,0.0,0.0,8595.0,0.0,0.0,0.0,16195.0,0.0,0.0,0.0,,,0,100.0,1.098388671875
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,0.0,0.0,25000000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,1000.0,5578.0,25000000,1252,30,30,30,30,4,4,0,0,0,2.0,0.0,0.0,512.0,8.0,64,4096,262144,32.0,32,30,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,2,3,0,30,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,4096.0,4.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,,,0,0.78125,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,10000.0,32517.0,25000000,10252,172,152,172,152,44,44,0,20,0,22.0,0.0,0.0,512.0,8.0,64,4096,262144,174.0,174,152,0,22,0,0,0,0,0,0,0,20,13746,0,0,44,20,0,0,0,22,0,2,2,3,0,172,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0,4096.0,44.0,0.0,20.0,0.0,152.0,0.0,44.0,0.0,172.0,0.0,0.0,0.0,,,0,4.248046875,0.0
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,False,100000.0,327848.0,25000000,100252,1659,1204,1659,1204,461,461,0,198,0,200.0,0.0,0.0,512.0,8.0,64,4096,262144,1404.0,1404,1204,0,200,0,0,0,0,0,0,0,198,147418,0,0,461,198,0,0,59,202,0,2,2,5,0,1659,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659.0,4096.0,461.0,0.0,198.0,0.0,1204.0,0.0,461.0,0.0,1659.0,0.0,0.0,0.0,,,0,34.27734375,0.0
