trace,prefetcher,ipc,speedup_vs_no_pref,l2_loads,l2_load_miss,l2_load_miss_rate,miss_reduction_vs_no_pref,pf_requested,pf_dropped,pf_issued,nodup_issued,pf_filled,pf_useful,pf_useless,pf_late,pq_merged_duplicate_proxy,accuracy,nodup_accuracy,selected_accuracy,coverage_vs_no_pref_l2_miss,useful_per_l2_miss_self,timeliness,late_per_issued,drop_rate,useless_per_issued,nodup_mode,run_failed,fail_reason,log_missing,log
605.mcf_s-994B,spp,0.18874,1.0303526585871818,985273,735406,0.7463982063854383,0.006507498416017876,710459,0,710459,705508,19585,14384,5178,1257,4951,0.020246066275464172,0.02038814584668069,0.02038814584668069,0.01943198198380758,0.019559263862410695,0.9196342944824499,0.0017692787338889366,0.0,0.007288246049384975,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.spp.log
605.mcf_s-994B,ipcp,0.18318,1.0,985276,740223,0.7512849191495581,0.0,88,0,88,88,42,26,16,16,0,0.29545454545454547,0.29545454545454547,0.29545454545454547,3.5124550304435285e-05,3.5124550304435285e-05,0.6190476190476191,0.18181818181818182,0.0,0.18181818181818182,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.ipcp.log
605.mcf_s-994B,sms,0.18777,1.0250573206681952,985269,682187,0.6923865462122527,0.07840340005646947,1287553,60,1287493,1287493,893091,256319,635113,61126,0,0.19908380084396576,0.19908380084396576,0.19908380084396576,0.3462726772877903,0.37573128775541015,0.8074438091637921,0.04747676298045892,4.6600023455345137e-05,0.49329433247404064,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.sms.log
605.mcf_s-994B,sandbox,0.16905,0.9228627579430069,985257,714230,0.7249174580845403,0.035115093694737934,15930213,428375,15501838,13238296,7641216,449411,7188334,139527,2263542,0.0289908203143395,0.033947798115407,0.033947798115407,0.6071292029564064,0.6292244795094017,0.7630871161310698,0.009000674629679397,0.026890726445402833,0.46370849701822453,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.sandbox.log
605.mcf_s-994B,power7,0.18163,0.9915383775521346,985267,715851,0.7265553398215915,0.03292521307768064,1466157,0,1466157,1386191,687520,129697,556672,17755,79966,0.08846051275545525,0.09356358539335488,0.09356358539335488,0.17521341541670551,0.18117876485469742,0.8795879337004584,0.01210989000495854,0.0,0.3796810300670392,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/605.mcf_s-994B.power7.log
620.omnetpp_s-874B,no_pref,0.2375,1.0,451398,316554,0.7012747065782303,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.no_pref.log
620.omnetpp_s-874B,stride,0.23833,1.0034947368421052,451396,313694,0.69494191353047,0.009034793431768355,19579,0,19579,19578,7781,5928,1849,0,1,0.30277337964145257,0.30278884462151395,0.30278884462151395,0.0187266627494835,0.01889739682620643,1.0,0.0,0.0,0.0944379181776393,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.stride.log
620.omnetpp_s-874B,streamer,0.24228,1.0201263157894738,451360,278278,0.6165322580645162,0.120914599088939,757318,0,757318,659178,397943,110831,286074,2538,98140,0.14634671300563304,0.1681351622778673,0.1681351622778673,0.3501171995931184,0.3982743874830206,0.9776129276962838,0.0033513002463958336,0.0,0.37774620436857437,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.streamer.log
620.omnetpp_s-874B,ampm,0.23976,1.0095157894736844,451359,300054,0.6647790339840349,0.05212380826020205,310419,0,310419,289753,143933,45147,98338,1868,20666,0.14543890676794913,0.15581201920256219,0.15581201920256219,0.14262021645596012,0.1504629166749985,0.9602679995746038,0.006017672887291049,0.0,0.3167911757978732,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.ampm.log
620.omnetpp_s-874B,spp,0.23869,1.0050105263157896,451389,316347,0.7008301044110512,0.000653916867264353,174696,0,174696,171086,127,74,53,34,3610,0.00042359298438430186,0.00043253100779724814,0.00043253100779724814,0.0002337673825003001,0.00023392034696077409,0.6851851851851852,0.0001946238036360306,0.0,0.00030338416449145943,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.spp.log
620.omnetpp_s-874B,ipcp,0.23771,1.0008842105263158,451406,315134,0.6981165513971901,0.004485806529059813,29016,0,29016,29016,14872,5374,9433,374,0,0.18520816101461263,0.18520816101461263,0.18520816101461263,0.016976566399413685,0.01705306314139382,0.9349338900487126,0.012889440308795148,0.0,0.32509649848359523,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.ipcp.log
620.omnetpp_s-874B,sms,0.24695,1.0397894736842106,451284,246242,0.5456475301583925,0.22211692159947433,808086,0,808086,808086,593171,197737,394038,3655,0,0.24469796531557284,0.24469796531557284,0.24469796531557284,0.6246548772089439,0.8030189813273122,0.9818513148486534,0.0045230334395101515,0.0,0.4876188920486186,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.sms.log
620.omnetpp_s-874B,sandbox,0.24433,1.028757894736842,451253,237594,0.526520599309035,0.24943611516518507,7809601,186257,7623344,6663110,3656950,373815,3279950,10848,960234,0.04903556759343406,0.056102180513303845,0.056102180513303845,1.1808885687749957,1.5733351852319504,0.9717986913220144,0.0014229975716693356,0.02384974597293767,0.4302508190631303,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.sandbox.log
620.omnetpp_s-874B,power7,0.24232,1.0202947368421054,451341,278931,0.6180050117317062,0.11885175988930799,730714,0,730714,633770,378404,105531,271622,2751,96944,0.14442175734966076,0.16651308834435205,0.16651308834435205,0.333374400576205,0.37834088000258126,0.9745941153654347,0.0037648108562310287,0.0,0.37172135746680646,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/620.omnetpp_s-874B.power7.log
623.xalancbmk_s-700B,no_pref,0.35321,1.0,1218494,450350,0.36959558274394455,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.no_pref.log
623.xalancbmk_s-700B,stride,0.3534,1.0005379236148466,1218495,448287,0.36790220723105144,0.004580881536582658,299845,0,299845,268834,19224,18849,373,7498,31011,0.06286247894745618,0.07011389928357276,0.07011389928357276,0.04185411346730321,0.0420467245313828,0.715413519565795,0.025006253230835933,0.0,0.0012439760542947188,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.stride.log
623.xalancbmk_s-700B,streamer,0.33644,0.9525211630474788,1218352,730241,0.5993678345831089,-0.6214966137448651,2459972,0,2459972,2136580,828293,111140,715938,6770,323392,0.045179376025418175,0.052017710546761645,0.052017710546761645,0.2467858332408127,0.15219632970485086,0.942583326265796,0.0027520638446291257,0.0,0.2910350199107957,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.streamer.log
623.xalancbmk_s-700B,ampm,0.34924,0.9887602276266243,1218334,505771,0.4151332885727559,-0.12306206284001332,924845,0,924845,839364,139608,52884,86456,3276,85481,0.05718147365234175,0.0630048465266559,0.0630048465266559,0.11742866659265017,0.10456115514728997,0.9416666666666667,0.003542215182003471,0.0,0.09348161043201834,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.ampm.log
623.xalancbmk_s-700B,spp,0.35391,1.001981823844172,1218483,439632,0.36080273586090245,0.02379926723659376,1670201,0,1670201,1612741,30949,7816,23108,1870,57460,0.004679676278483847,0.004846407451661488,0.004846407451661488,0.0173553902520262,0.01777850565927867,0.806937848441049,0.0011196257216945745,0.0,0.013835460522416165,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.spp.log
623.xalancbmk_s-700B,ipcp,0.35241,0.9977350584638034,1218487,461190,0.37849398475322266,-0.024070167647385367,87172,0,87172,87172,16769,5863,10856,118,0,0.06725783508466021,0.06725783508466021,0.06725783508466021,0.013018763184190074,0.012712764804093758,0.980270857716101,0.001353645666039554,0.0,0.12453540127563896,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.ipcp.log
623.xalancbmk_s-700B,sms,0.34167,0.967328218340364,1218827,656622,0.5387327323730111,-0.45802597979349396,1932085,0,1932085,1932085,1057158,291589,764626,11070,0,0.15091934361065895,0.15091934361065895,0.15091934361065895,0.6474719662484734,0.4440743685103454,0.963424183652229,0.005729561587611311,0.0,0.39575173970089306,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.sms.log
623.xalancbmk_s-700B,sandbox,0.34524,0.9774355199456413,1218507,600003,0.49240833249213994,-0.33230376373931386,17013266,4122042,12891224,10755534,5030567,536632,4491270,23596,2135690,0.04162769958849524,0.049893571067694084,0.049893571067694084,1.1915887642944376,0.8943821947556929,0.9578814339875907,0.0018303925212997617,0.24228399179792992,0.34839748343524246,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.sandbox.log
623.xalancbmk_s-700B,power7,0.3433,0.9719430367203645,1218439,615468,0.5051282829915983,-0.36664372154990565,1764449,0,1764449,1503898,560701,82274,477415,7460,260551,0.046628720920808706,0.05470716764035859,0.05470716764035859,0.18268901965138226,0.13367713674797066,0.9168654021886911,0.0042279487817443295,0.0,0.2705745533024757,1,0,,0,/home/qianruw/cache/formal_NN_training/results/prefetcher_baselines/logs/623.xalancbmk_s-700B.power7.log
