run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,category,configured_max_bytes,observed_peak_bytes,configured_max_kib,observed_peak_kib,scope,note
cold_online_random_h16_s7_state0_mac0,scratch,cold,final,16,7,,0,0,25000000,25000000,25000000,training FP32 weight copy,20880,20880,20.390625,20.390625,required logical predictor/trainer storage,
cold_online_random_h16_s7_state0_mac0,scratch,cold,final,16,7,,0,0,25000000,25000000,25000000,publication buffer,20880,20880,20.390625,20.390625,required logical predictor/trainer storage,
cold_online_random_h16_s7_state0_mac0,scratch,cold,final,16,7,,0,0,25000000,25000000,25000000,retained old inference weight bank,0,0,0.0,0.0,required logical predictor/trainer storage,separate bank protects an in-flight inference version during publication; configured only for finite online service
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,active FP32 weights,7632,7632,7.453125,7.453125,required logical predictor/trainer storage,
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",NA,8832,NA,8.625,required logical predictor/trainer storage,UNBOUNDED configured maximum
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,inference scratch,1344,1344,1.3125,1.3125,required logical predictor/trainer storage,"fixed arithmetic workspace reservation, not a sampled allocator peak"
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,active event metadata,56,56,0.0546875,0.0546875,required logical predictor/trainer storage,fixed active packet reservation
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,decoded delta/address result payload,512,32,0.5,0.03125,required logical predictor/trainer storage,
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,input queue,896,56,0.875,0.0546875,required logical predictor/trainer storage,
cold_online_random_h8_s17_state0_mac0,scratch,cold,final,8,17,,0,0,25000000,25000000,25000000,output queue,768,48,0.75,0.046875,required logical predictor/trainer storage,
