run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,milestone,status,first_window_end,confirmed_at_instructions,ipc,useful_prefetch_coverage,selected_accuracy,legacy_timeliness,request_pressure,cumulative_cycles_saved_vs_stride,total_eligible_callbacks,total_supervised_decisions,total_positive_actions,total_completed_updates,total_training_sample_exposures,total_published_versions,confirmation_ipc,confirmation_useful_prefetch_coverage,confirmation_selected_accuracy,confirmation_legacy_timeliness,confirmation_request_pressure,confirmation_cumulative_cycles_saved_vs_stride,confirmation_total_eligible_callbacks,confirmation_total_supervised_decisions,confirmation_total_positive_actions,confirmation_total_completed_updates,confirmation_total_training_sample_exposures,confirmation_total_published_versions,cumulative_cycles_saved_at_confirmation
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,positive_cumulative_cycle_saving_vs_stride,REACHED,1000000.0,3000000.0,0.4051744012433992,0.5869691681210005,0.2593297008327336,1.0,1.2012349490583514,314984.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.40926611219293785,0.5891763529558806,0.24288953009068426,1.0,1.2030000619847518,887424.0,48453.0,0.0,0.0,0.0,0.0,0.0,887424.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,positive_window_cycle_saving_vs_stride,REACHED,1000000.0,3000000.0,0.4051744012433992,0.5869691681210005,0.2593297008327336,1.0,1.2012349490583514,314984.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.40926611219293785,0.5891763529558806,0.24288953009068426,1.0,1.2030000619847518,887424.0,48453.0,0.0,0.0,0.0,0.0,0.0,887424.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.4051744012433992,0.5869691681210005,0.2593297008327336,1.0,1.2012349490583514,314984.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.40926611219293785,0.5891763529558806,0.24288953009068426,1.0,1.2030000619847518,887424.0,48453.0,0.0,0.0,0.0,0.0,0.0,887424.0
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,positive_cumulative_cycle_saving_vs_stride,REACHED,1000000.0,3000000.0,0.4051505985289792,0.5862710878417685,0.25916782389548937,1.0,1.2005557270762581,314839.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.4092572349517138,0.5891763529558806,0.24324045407636738,1.0,1.2012644889357218,885607.0,48453.0,0.0,0.0,0.0,0.0,0.0,885607.0
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,positive_window_cycle_saving_vs_stride,REACHED,1000000.0,3000000.0,0.4051505985289792,0.5862710878417685,0.25916782389548937,1.0,1.2005557270762581,314839.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.4092572349517138,0.5891763529558806,0.24324045407636738,1.0,1.2012644889357218,885607.0,48453.0,0.0,0.0,0.0,0.0,0.0,885607.0
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.4051505985289792,0.5862710878417685,0.25916782389548937,1.0,1.2005557270762581,314839.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.4092572349517138,0.5891763529558806,0.24324045407636738,1.0,1.2012644889357218,885607.0,48453.0,0.0,0.0,0.0,0.0,0.0,885607.0
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,positive_cumulative_cycle_saving_vs_stride,REACHED,1000000.0,3000000.0,0.4051505985289792,0.5862710878417685,0.25916782389548937,1.0,1.2005557270762581,314839.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.4092572349517138,0.5891763529558806,0.24324045407636738,1.0,1.2012644889357218,885607.0,48453.0,0.0,0.0,0.0,0.0,0.0,885607.0
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,positive_window_cycle_saving_vs_stride,REACHED,1000000.0,3000000.0,0.4051505985289792,0.5862710878417685,0.25916782389548937,1.0,1.2005557270762581,314839.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.4092572349517138,0.5891763529558806,0.24324045407636738,1.0,1.2012644889357218,885607.0,48453.0,0.0,0.0,0.0,0.0,0.0,885607.0
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,99_percent_frozen_i1m_window_ipc,REACHED,1000000.0,3000000.0,0.4051505985289792,0.5862710878417685,0.25916782389548937,1.0,1.2005557270762581,314839.0,16196.0,0.0,0.0,0.0,0.0,0.0,0.4092572349517138,0.5891763529558806,0.24324045407636738,1.0,1.2012644889357218,885607.0,48453.0,0.0,0.0,0.0,0.0,0.0,885607.0
cold_frozen_i1m_h8_s7_state64_mac16,frozen,cold,final,8,7,i1m,64,16,25000000,25000000,25000000,positive_cumulative_cycle_saving_vs_stride,NOT REACHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
